Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propagated by Bare Root,Propagated by Bulb,Propagated by Container,Propagated by Corm,Propagated by Cuttings,Propagated by Seed,Propagated by Sod,Propagated by Sprigs,Propagated by Tubers,Seed Spread Rate,Seedling Vigor,Small Grain,Vegetative Spread Rate,Id,Seed per Pound
Late Spring,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,No,No,Yes,No,Slow,High,No,Moderate,16268,
Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,Yes,No,No,No,No,Yes,No,None,Low,No,Moderate,16271,498454
Early Summer,Routinely Available,Medium,Summer,Summer,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,31206,2852012
Early Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,Slow,92814,11360
,,,,,,,,,,,,,,,,,,,72484,
Late Spring,No Known Source,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,92842,11360
,,,,,,,,,,,,,,,,,,,72494,
Early Spring,Routinely Available,High,Spring,Spring,No,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,No,None,92846,22720
Early Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,None,92860,1610
Mid Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Moderate,High,No,None,92865,6540
Spring,No Known Source,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,No,None,92875,22720
Summer,Contracting Only,High,Summer,Fall,No,No,No,Yes,No,No,No,No,Yes,No,Slow,Low,No,Moderate,14357,
Late Spring,No Known Source,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,None,93131,28
,,,,,,,,,,,,,,,,,,,31339,
Mid Spring,Routinely Available,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Low,No,Moderate,20153,8500000
Mid Summer,No Known Source,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Low,No,Moderate,20180,8000000
,,,,,,,,,,,,,,,,,,,27903,
Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,Slow,69903,1084250
Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,Low,No,Slow,69928,400000
Late Spring,Routinely Available,Medium,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,None,15744,825000
Mid Spring,Contracting Only,Medium,Spring,Summer,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Moderate,Low,No,None,88664,79832
Mid Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,Moderate,88673,95708
Late Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Rapid,Medium,No,None,76871,77000
Early Spring,No Known Source,High,Spring,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,88685,84000
Late Spring,No Known Source,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,88708,84000
,,,,,,,,,,,,,,,,,,,88716,
,,,,,,,,,,,,,,,,,,,43228,
Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,Slow,20316,144240
Late Summer,Routinely Available,High,Fall,Winter,Yes,No,No,No,No,No,Yes,No,Yes,No,Moderate,High,No,None,20324,205000
,,,,,,,,,,,,,,,,,,,72538,
Late Spring,No Known Source,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,Slow,Low,No,Slow,31762,6600000
,,,,,,,,,,,,,,,,,,,31814,
,,,,,,,,,,,,,,,,,,,72594,
,,,,,,,,,,,,,,,,,,,31911,
Late Spring,Routinely Available,Low,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,Slow,Low,No,None,20367,800000
Late Spring,Routinely Available,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,No,Yes,Slow,Medium,No,None,76939,
,,,,,,,,,,,,,,,,,,,72621,
,,,,,,,,,,,,,,,,,,,88802,
,,,,,,,,,,,,,,,,,,,16310,
,Routinely Available,,,,No,Yes,No,Yes,No,Yes,No,No,No,No,None,,No,Rapid,20561,
Mid Summer,Routinely Available,Medium,Summer,Fall,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Moderate,Medium,No,Moderate,32298,4048000
,,,,,,,,,,,,,,,,,,,71241,
Early Summer,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,None,74685,131000
Early Summer,Routinely Available,Low,Summer,Summer,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Slow,Low,No,Slow,16316,110000
,,,,,,,,,,,,,,,,,,,71268,
Mid Summer,Routinely Available,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,Slow,77136,270500
Fall,Routinely Available,Medium,Spring,Fall,Yes,No,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,43539,153761
,,,,,,,,,,,,,,,,,,,13080,
,,,,,,,,,,,,,,,,,,,43580,
,,,,,,,,,,,,,,,,,,,43599,
Mid Spring,Routinely Available,Medium,Spring,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,None,71503,697
Mid Summer,Routinely Available,Medium,Summer,Fall,No,No,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,43605,70000
,,,,,,,,,,,,,,,,,,,43619,
,,,,,,,,,,,,,,,,,,,43621,
,Routinely Available,None,,,No,No,No,Yes,No,No,No,No,Yes,No,None,,No,Moderate,13404,
,,,,,,,,,,,,,,,,,,,13412,
,,,,,,,,,,,,,,,,,,,78033,
Mid Summer,No Known Source,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Low,No,None,78085,300000
Late Spring,Field Collections Only,Medium,Summer,Summer,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Moderate,Medium,No,None,69950,446400
Late Spring,Field Collections Only,Low,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,None,69974,646000
Mid Spring,Routinely Available,High,Spring,Spring,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Rapid,High,No,Slow,69997,374400
Mid Spring,Routinely Available,High,Summer,Summer,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Rapid,Medium,No,None,70004,1380800
Late Summer,Routinely Available,High,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,Rapid,High,No,None,32620,130000
,,,,,,,,,,,,,,,,,,,49180,
Late Summer,Routinely Available,High,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,Rapid,High,No,None,32652,43324
Late Summer,Routinely Available,High,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,None,32705,195300
Mid Summer,Routinely Available,Medium,Summer,Summer,No,No,No,No,No,No,Yes,Yes,Yes,No,Slow,Low,No,Rapid,20755,335360
Late Spring,No Known Source,,Summer,Summer,No,Yes,No,No,No,No,No,No,Yes,No,None,,No,Slow,12926,
Spring,Routinely Available,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,None,20903,236000
,,,,,,,,,,,,,,,,,,,20816,
Late Spring,Routinely Available,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,Rapid,20954,142880
Mid Spring,Field Collections Only,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,70649,73
Late Spring,No Known Source,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,None,18129,
,,,,,,,,,,,,,,,,,,,18150,
Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Moderate,18180,
Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,None,18236,
Mid Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,70066,35000
Late Spring,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,Slow,21103,3837472
Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,None,18297,
Mid Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,70586,156
Fall,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,Slow,21127,
Mid Summer,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Moderate,18321,
Late Spring,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,None,18330,719988
Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,None,18354,
,,,,,,,,,,,,,,,,,,,18385,
,,,,,,,,,,,,,,,,,,,71330,
Late Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,18452,
Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Moderate,18467,
Mid Spring,Contracting Only,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,70594,200
Late Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,None,18494,
Mid Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Moderate,18499,
Early Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Medium,No,Slow,70608,130
Late Spring,Routinely Available,Low,Summer,Fall,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,None,17314,
,,,,,,,,,,,,,,,,,,,17440,
Spring,Routinely Available,Medium,Spring,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,None,17455,94696
Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,17576,
Late Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,None,70622,96
Mid Spring,Routinely Available,Medium,Summer,Summer,No,No,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,No,None,72708,554000
,,,,,,,,,,,,,,,,,,,17676,
,,,,,,,,,,,,,,,,,,,17706,
,,,,,,,,,,,,,,,,,,,17707,
Late Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,17718,
Spring,Routinely Available,Low,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,None,70117,250
Summer,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,High,No,Moderate,49184,136000
,,,,,,,,,,,,,,,,,,,17749,
,,,,,,,,,,,,,,,,,,,17767,
Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,None,17826,
Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,None,17859,
Early Summer,Routinely Available,Medium,Fall,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,Slow,49194,20480
Mid Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,17885,
Mid Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,17903,
Spring,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Slow,Medium,No,None,17921,
,,,,,,,,,,,,,,,,,,,17948,
Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,17981,
Late Spring,Routinely Available,Low,Summer,Summer,No,Yes,No,No,No,No,Yes,No,Yes,No,Slow,Low,No,Slow,17988,
Spring,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,None,18058,1297000
Late Spring,Routinely Available,Low,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,Slow,87033,112000
Spring,Routinely Available,Medium,Spring,Summer,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Moderate,Medium,No,None,78328,18000
Early Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Medium,No,None,70928,2200
Mid Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Moderate,Medium,No,None,70944,43000
Summer,Routinely Available,Medium,Fall,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Moderate,High,No,None,47594,134000
,,,,,,,,,,,,,,,,,,,70952,
Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,No,Rapid,75002,26080
Early Summer,Routinely Available,High,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,Rapid,High,No,None,78361,65000
,,,,,,,,,,,,,,,,,,,50704,
,,,,,,,,,,,,,,,,,,,14459,
Summer,Routinely Available,High,Summer,Fall,Yes,Yes,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,Moderate,21302,90000
Summer,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,Moderate,21304,85000
,,,,,,,,,,,,,,,,,,,33436,
,,,,,,,,,,,,,,,,,,,14477,
Mid Spring,No Known Source,High,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,None,49693,1800
,,,,,,,,,,,,,,,,,,,33399,
Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,None,21368,
Summer,Routinely Available,Low,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,Slow,64788,
,,,,,,,,,,,,,,,,,,,78506,
,,,,,,,,,,,,,,,,,,,72862,
Mid Summer,No Known Source,Low,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,Slow,72874,192000
Mid Spring,No Known Source,Medium,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Low,No,None,75150,8000
Early Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Medium,No,Slow,75152,12200
Spring,Routinely Available,Low,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,None,70074,491
Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,Moderate,Medium,No,None,33849,1500000
Early Spring,Routinely Available,Low,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,High,No,Slow,70081,549
,,,,,,,,,,,,,,,,,,,16911,
Early Spring,Routinely Available,Medium,Spring,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Medium,No,None,75171,4480
Mid Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,No,Moderate,75174,12000
Late Summer,Routinely Available,High,Fall,Fall,Yes,No,No,Yes,No,No,Yes,No,No,No,Moderate,High,No,None,33940,221000
,,,,,,,,,,,,,,,,,,,28406,
Late Spring,Routinely Available,Medium,Spring,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,Slow,75196,13000
Late Spring,Routinely Available,High,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,Moderate,High,No,None,33978,3222222
,,,,,,,,,,,,,,,,,,,33987,
,,,,,,,,,,,,,,,,,,,33992,
Late Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Moderate,Medium,No,None,89092,5000
,,,,,,,,,,,,,,,,,,,89186,
Mid Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,None,89404,29800
Early Spring,Routinely Available,Medium,Spring,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Low,No,None,89605,20000
,,,,,,,,,,,,,,,,,,,45660,
Mid Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,Slow,Low,No,Rapid,18590,3489173
Late Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,Moderate,High,No,None,18714,
Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,Moderate,Medium,No,Slow,18835,
Late Spring,No Known Source,Low,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,Moderate,Medium,No,None,21508,450000
,,,,,,,,,,,,,,,,,,,21519,
,,,,,,,,,,,,,,,,,,,21520,
Late Spring,No Known Source,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,Slow,High,No,None,21602,668000
,,,,,,,,,,,,,,,,,,,21603,
Late Summer,No Known Source,High,Fall,Fall,Yes,No,No,No,No,No,Yes,No,No,No,Rapid,High,No,None,79106,200000
,,,,,,,,,,,,,,,,,,,13296,
,,,,,,,,,,,,,,,,,,,73087,
Mid Summer,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,Medium,No,Rapid,84380,
Early Summer,Routinely Available,High,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,Slow,Low,No,None,21710,350000
Summer,No Known Source,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,Slow,Medium,No,None,21712,210000
,,,,,,,,,,,,,,,,,,,71832,
,,,,,,,,,,,,,,,,,,,71836,
Late Spring,No Known Source,Low,Summer,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Slow,Medium,No,None,42692,
,,,,,,,,,,,,,,,,,,,27319,
Late Spring,Routinely Available,High,Summer,Winter,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Slow,High,No,Moderate,64536,1200
,,,,,,,,,,,,,,,,,,,67061,
